Training with hyperparameters: p_pddm=3.2e+02, r_mid_point_mini=1e+03
Training data: /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_10_setting_6_train.npz
Test data:     /Users/zhizhonglin/Desktop/causal_inference/deepLearning/WTEDVAE/ACIC/ACIC_1_10_setting_6_test.npz
Loaded data with shape [3601,82]
Defining graph...

Training on experiment 1/10...
1800	Obj: 9593.864,	F: 4.134,	Cf: 4.230,	PDDM: 30,	mid_p: 8.8e-06,	Val: 7.399,	ValObj: 3763.88
1900	Obj: 7342.953,	F: 4.037,	Cf: 4.122,	PDDM: 23,	mid_p: 8.4e-06,	Val: 7.358,	ValObj: 5321.12
1999	Obj: 10425.228,	F: 4.028,	Cf: 4.131,	PDDM: 33,	mid_p: 8.1e-06,	Val: 7.368,	ValObj: 3048.12
Saving result to results/ihdpresults_20211208_152220-189109/...

Training on experiment 7/10...
0	Obj: 73191.336,	F: 5.565,	Cf: 5.567,	PDDM: 2.3e+02,	mid_p: 0.018,	Val: 5.588,	ValObj: 76573.34
100	Obj: 5177.628,	F: 5.024,	Cf: 5.879,	PDDM: 16,	mid_p: 0.0016,	Val: 5.039,	ValObj: 5864.31
200	Obj: 6125.618,	F: 5.029,	Cf: 5.739,	PDDM: 19,	mid_p: 0.0015,	Val: 5.042,	ValObj: 6815.31
300	Obj: 5364.396,	F: 5.027,	Cf: 5.739,	PDDM: 17,	mid_p: 0.0015,	Val: 5.041,	ValObj: 5485.21
400	Obj: 7494.577,	F: 5.028,	Cf: 5.721,	PDDM: 24,	mid_p: 0.0015,	Val: 5.044,	ValObj: 8436.79
500	Obj: 7678.708,	F: 5.023,	Cf: 5.977,	PDDM: 24,	mid_p: 0.0014,	Val: 5.039,	ValObj: 8388.66
600	Obj: 8280.155,	F: 5.010,	Cf: 5.872,	PDDM: 26,	mid_p: 0.0014,	Val: 5.029,	ValObj: 9170.81
700	Obj: 4434.185,	F: 4.945,	Cf: 5.888,	PDDM: 14,	mid_p: 0.0014,	Val: 4.989,	ValObj: 5087.40
800	Obj: 6262.489,	F: 4.939,	Cf: 5.876,	PDDM: 20,	mid_p: 0.0013,	Val: 4.980,	ValObj: 6848.85
900	Obj: 6583.092,	F: 4.931,	Cf: 5.787,	PDDM: 21,	mid_p: 0.0013,	Val: 4.973,	ValObj: 7143.36
1000	Obj: 8489.809,	F: 5.007,	Cf: 5.873,	PDDM: 27,	mid_p: 0.0015,	Val: 5.026,	ValObj: 9043.02
1100	Obj: 7837.157,	F: 4.950,	Cf: 5.743,	PDDM: 25,	mid_p: 0.0015,	Val: 4.983,	ValObj: 8394.14
1200	Obj: 2306.701,	F: 4.918,	Cf: 5.767,	PDDM: 7.2,	mid_p: 0.0013,	Val: 4.966,	ValObj: 2885.11
1300	Obj: 3967.109,	F: 4.933,	Cf: 5.976,	PDDM: 12,	mid_p: 0.001,	Val: 4.971,	ValObj: 4432.32
1400	Obj: 4203.064,	F: 4.897,	Cf: 5.913,	PDDM: 13,	mid_p: 0.001,	Val: 4.951,	ValObj: 4796.30
1500	Obj: 5409.462,	F: 4.866,	Cf: 5.877,	PDDM: 17,	mid_p: 0.001,	Val: 4.919,	ValObj: 6055.57
1600	Obj: 7373.010,	F: 4.858,	Cf: 5.576,	PDDM: 23,	mid_p: 0.001,	Val: 4.908,	ValObj: 8218.79
1700	Obj: 5566.804,	F: 4.830,	Cf: 5.764,	PDDM: 18,	mid_p: 0.00092,	Val: 4.879,	ValObj: 5996.98
